PropertyType,mean,count,cluster
Fire station ,70.81241250583294,4286,4
Milking Parlour ,245.8,5,11
Bicycle,257.2576590730558,1273,11
Town Hall ,271.540415704388,1299,12
Theatre ,275.3948717948718,2535,12
Military helicopter ,284.0,1,12
Police station ,285.5495145631068,3090,12
Tram ,286.28125,32,12
Racecourse ,287.0,2,12
Ice rink ,290.2162162162162,111,12
Club/night club ,290.2984828496042,3032,12
Human harm outdoors,291.00224971878515,889,12
Cinema ,293.9103734439834,2410,12
Library ,294.0284934828736,3299,12
Central Government Office,295.30144167758846,1526,12
Law Courts ,295.729392173189,1201,12
Indoor Market ,296.0726872246696,454,12
Leisure Centre ,299.3904966059307,5598,2
Large supermarket ,302.67393690990264,13663,2
Hostel (e.g. for homeless people) ,305.55704659166497,34577,2
Local Government Office,306.8072108162243,1997,2
Gym ,307.8373076923077,5200,2
Pub/wine bar/bar ,308.4427230405251,13103,2
Concert Hall ,309.1306990881459,329,2
College/University ,310.6916326120453,14927,2
Train station - concourse ,313.8409937888199,1610,2
Department Store ,313.983932223196,3423,2
Health Centre ,314.8318122555411,767,8
Mosque ,315.1864951768489,311,8
Swimming Pool ,315.18892045454544,704,8
Ambulance station ,316.39506172839504,162,8
Single shop ,317.15127221363264,52389,8
Train station - platform (below ground) ,317.88391118036617,5134,8
Cathedral ,318.35059760956176,251,8
Takeaway/ fast food ,319.922820318423,6595,8
Boarding House/B&B for homeless/asylum seekers ,320.16978109983984,5619,8
Restaurant/cafe,320.28141532786486,20603,8
Bingo Hall ,320.57620041753654,479,8
Estate Agent ,320.71230158730157,504,8
DIY Warehouse ,320.78864628820963,2290,8
Casino ,321.4976744186047,430,8
Bank/Building Society ,321.89401496259353,3208,8
Hotel/motel ,322.6912642980059,19758,8
Other entertainment venue ,322.8328729281768,1448,8
Freight Train ,323.4102564102564,39,8
Medical/health centre,323.42933507170795,7670,8
Travel Agent ,323.55445544554453,101,8
Shopping Centre ,323.6013359647791,6587,8
Conference Centre ,324.1490514905149,369,8
Purpose built office ,324.1921207961565,72850,8
Exhibition Centre ,324.5065868263473,835,8
TV/film/music/art studio ,325.89524782830864,1957,8
Telephone exchange,326.08169533169536,1628,8
Youth hostel ,326.97196892941577,2961,14
Converted Flat/Maisonettes - 3 or more storeys,327.64670801279726,96583,14
Hairdresser ,328.28776978417267,1251,14
Cycle path/public footpath/bridleway ,328.3407942238267,4155,14
Church/Chapel ,328.40673513255314,4187,14
Bus/coach station/garage ,329.2231947483589,1371,14
Train station - platform (at ground level or elevated) ,329.24897213339426,2189,14
Call Centre ,329.69029850746267,1072,14
Other medical establishment (including surgery) ,330.10311799470145,4907,14
Football stadium ,330.63412489006157,1137,14
Small refuse/rubbish container,331.0093470982143,50176,14
Converted office ,331.15003133112526,11171,14
Wheelie bin (domestic size),331.1586226768477,6941,14
Other retail  ,331.4970668752444,2557,14
Train station - elsewhere ,331.6531850353893,1978,14
Ferry terminal ,332.1666666666667,24,14
Doctors surgery,332.24226804123714,1940,14
Other public building ,332.4612511671335,1071,14
Hospital ,332.8884962352607,56312,14
Electrical warehouse ,333.45045045045043,666,14
Synagogue ,333.617915904936,547,14
Sports/Social club ,333.65882855921336,2339,14
Other office/call centre type building,333.6939477303989,1454,14
Other education establishment,334.99902818270164,3087,14
Petrol station ,335.05723006486073,2621,14
Bakery,335.07750472589794,529,14
Other cultural venue ,335.23796033994336,706,14
Student Hall of Residence ,335.66861786113145,25967,14
Art Gallery ,335.69446297531687,1499,14
Dental surgery,335.8304347826087,920,14
Secondary school,336.11612744495017,16258,14
Pre School/nursery ,336.73269989243454,5578,6
Community centre/Hall ,336.7747729149463,4844,6
Animal products processing plant,337.3350785340314,191,6
Boarding House/B&B other ,337.5064935064935,847,6
Day care/Drop in centre,337.80528634361235,1135,6
Self contained Sheltered Housing ,338.00140723409856,174811,6
Sheltered Housing : not self contained ,338.1862491930278,3098,6
Converted Flat/Maisonette - Up to 2 storeys ,338.5135996901827,77465,6
Other holiday residence (cottage/ flat/ chalet) ,338.5975609756098,82,6
Post office (within other shop/premises) ,338.635593220339,236,6
Licensed House in Multiple Occupation - 3 or more storeys ,338.95229357798166,8175,6
Veterinary surgery,339.24590163934425,305,6
Temple ,339.469696969697,198,6
Infant/Primary school,339.5755160433272,24465,6
Bus/coach ,339.60366785532347,5889,6
Road surface/pavement ,340.1642213404694,32511,6
Other Religious Use Building,341.3210603829161,679,6
Post box ,341.38085539714865,491,6
Helicopter ,341.6326530612245,49,6
Post office (purpose built) ,342.79425113464447,661,6
Furniture warehouse ,342.88157894736844,760,6
House in Multiple Occupation - 3 or more storeys (not known if licensed),343.1063122923588,2408,6
Unlicensed House in Multiple Occupation - 3 or more storeys ,343.38659793814435,1164,6
Telephone box ,343.7842401500938,533,6
Shelter ,343.85336538461536,416,6
Other bulk storage,343.88829471182413,1683,6
Laundrette ,344.0400962309543,1247,6
Sports Hall ,344.3319946452477,747,6
Nurses'/Doctors' accommodation ,344.81830417227457,5944,6
Public toilets ,345.24635761589406,755,6
Monastery/convent ,345.5989583333333,192,6
Railway building - other,345.6622516556291,755,6
Kiosk ,346.4485294117647,136,16
Multi-Storey car park,346.64028103044495,2135,16
Common external bin storage area,346.8422907488987,6810,16
Other indoor sporting venue ,347.0301724137931,464,16
Health spa/farm,347.053125,320,16
Train on Tube network,347.4823899371069,1590,16
Large refuse/rubbish container (eg skip/ paladin),347.64829146326946,16798,16
Laboratory/research Establishment ,347.88329979879273,994,16
Royal Palace (part not open to public),348.025,120,16
Greyhound stadium ,348.07575757575756,132,16
Museum ,348.1415465268676,2289,16
Cemetery ,348.2247752247752,1001,16
Vehicle sales building,348.9466119096509,487,16
Underground train : Other system ,350.32761904761907,525,16
Children's Home,351.0425079702444,941,16
Recycling collection point/ bottle bank,351.19321148825065,383,16
Roadside furniture (eg lamp posts/ road signs/ telegraph poles/ speed cameras),351.2686246418338,2792,16
House in Multiple Occupation - Up to 2 storeys (not known if licensed) ,351.70800872545965,3209,16
Motorcycle ,351.7449460916442,11872,16
Bridge,352.32794457274827,2165,16
Cricket ground ,352.52830188679246,159,16
Nursing/Care Home/Hospice,353.02676594888305,29814,16
Retirement/Old Persons Home,353.37360051794656,63327,16
Purpose Built Flats/Maisonettes - Up to 3 storeys ,354.7209439326218,263112,16
